R,q_ind + mu_ind,mu_ind,HF,PBE0
6.0000000,-0.0248157964,-0.0230901249,-0.027022,-0.027412
8.0000000,-0.0124483495,-0.0115443085,-0.013401,-0.013625
10.000000,-0.0070016389,-0.0065098814,-0.007438,-0.007560  
12.000000,-0.0042326587,-0.0039553483,-0.004448,-0.004513
14.000000,-0.0026947215,-0.0025330389,-0.002809,-0.002843
16.000000,-0.0017865515,-0.0016893224,-0.001851,-0.001868
18.000000,-0.0012246879,-0.0011645144,-0.001263,-0.001272
20.000000,-0.0008637117,-0.0008254662,-0.000888,-0.000892
