R,PISCES(q+µ),PISCES(µ),HF,PBE0
6,-0.0155143358,-0.0154551810,-0.018390,-0.018202
8,-0.0067204992,-0.0066954247,-0.007917,-0.007819
10,-0.0033374091,-0.0033263492,-0.003920,-0.003863
12,-0.0018226408,-0.0018174448,-0.002143,-0.002108
14,-0.0010696045,-0.0010670073,-0.001262,-0.001238
16,-0.0006645853,-0.0006632115,-0.000786,-0.000771
18,-0.0004326475,-0.0004318833,-0.000513,-0.000503
20,-0.0002927942,-0.0002923498,-0.000348,-0.000341
