R,\mathrm{q_{ind}} + \mathbf{\mu}_{ind},\mathbf{\mu}_{ind},\mathrm{HF},\mathrm{PBE0},\mathrm{MP2}
6.0000000,-0.0212667419,-0.0205428301,-0.023285,-0.023410,-0.023780
8.0000000,-0.0100512152,-0.0097194421,-0.010880,-0.010933,-0.011098
10.000000,-0.0053752107,-0.0052148024,-0.005736,-0.005754,-0.005838  
12.000000,-0.0031177444,-0.0030359419,-0.003291,-0.003293,-0.003340
14.000000,-0.0019196535,-0.0018758415,-0.002011,-0.002008,-0.002036
16.000000,-0.0012390039,-0.0012144711,-0.001292,-0.001286,-0.001304
18.000000,-0.0008312796,-0.0008169788,-0.000864,-0.000859,-0.000871
20.000000,-0.0005762334,-0.0005675896,-0.000598,-0.000593,-0.000601
