'\mathrm{Z_ex}','\mathrm{KT}','\mathrm{PISCES}(V_{rep,es})','\mathrm{EOM-CCSD}','\mathrm{EOM-MP2}','\mathrm{PISCES}(V_{pol,rep,es})'
0.0195,3.7,3.500,13.20,12.3,10.010	
0.0260,NaN,6.122,20.30,19.3,15.457	
0.0325,NaN,9.087,27.77,26.6,21.435	
0.0380,12.2,NaN,NaN,NaN,NaN
0.0390,NaN,12.395,35.52,34.2,27.846	
0.0455,NaN,16.026,43.55,42.1,34.624
0.046,17.2,NaN,NaN,NaN,NaN	
0.0520,21,19.957,51.84,50.2,41.720
