N_c,alpha_xx,alpha_yy,alpha_zz
6,11.1639,11.1639,0.0
24,146.929,146.929,0.0
54,585.794,585.794,0.0
96,1515.43,1515.43,0.0
150,3126.38,3126.38,0.0
216,5610.61,5610.61,0.0
294,9160.93,9160.93,0.0
