N_c,alpha_xx,alpha_yy,alpha_zz
6,75.8616,75.8616,42.2309
24,300.139,300.139,123.638
54,703.714,703.714,242.658
96,1303.34,1303.34,398.783
150,2109.2,2109.2,591.677
216,3127.96,3127.96,821.129
294,4364.25,4364.25,1086.99
