N_c,alpha_xx,alpha_yy,alpha_zz
6,82.025759,82.025759,45.880025
24,381.147436,381.147448,130.605441
54,1020.041082,1020.041711,252.694216
96,2142.665681,2142.680714,411.920510
150,3941.079403,3941.292533,608.018021
216,6753.691498,6742.156877,840.854152
294,11083.602883,11020.780478,1110.271902
