N_c,alpha_xx,alpha_yy,alpha_zz
6,83.609903,83.609350,44.817153
24,403.929866,403.927929,127.158795
54,1123.026569,1123.058763,246.385450
96,2387.768670,2388.903929,401.828400
150,4421.247395,4414.138507,593.331827
216,7493.634501,7492.457719,820.742976
294,11881.258909,11823.270488,1083.767953
